CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
177,ccc6c546-0e0c-44b6-b909-f9dbbceddc80,VALID,Juupajoki,Juupajoki,Juupajoki,,,2018-01-01,2018-12-31
178,70035143-b1b8-449d-ba20-367c83f71b04,VALID,Juva,Juva,Juva,,,2018-01-01,2018-12-31
179,69e56beb-f944-4b22-8c77-b454823371c9,VALID,Jyväskylä,Jyväskylä,Jyväskylä,,,2018-01-01,2018-12-31
181,e2860392-5bff-4fea-996b-95d1f96dfe6a,VALID,Jämijärvi,Jämijärvi,Jämijärvi,,,2018-01-01,2018-12-31
182,d2b53d9e-b8d6-4acb-b571-71db4a35b4f9,VALID,Jämsä,Jämsä,Jämsä,,,2018-01-01,2018-12-31
186,edc71441-3a01-4771-af28-f34db1aef372,VALID,Järvenpää,Träskända,Järvenpää,,,2018-01-01,2018-12-31
202,515ef567-d5c4-4442-aa00-8f3d35faab3a,VALID,Kaarina,S:t Karins,Kaarina,,,2018-01-01,2018-12-31
204,56fe094a-7db6-45c8-9b29-1ecee0117401,VALID,Kaavi,Kaavi,Kaavi,,,2018-01-01,2018-12-31
205,2d88db5a-030e-4f99-93e4-d2438221a647,VALID,Kajaani,Kajana,Kajaani,,,2018-01-01,2018-12-31
208,2b68cc07-db88-4193-b0ec-a682f1d42ad0,VALID,Kalajoki,Kalajoki,Kalajoki,,,2018-01-01,2018-12-31
211,e405530a-c88d-44ee-8439-410c45410012,VALID,Kangasala,Kangasala,Kangasala,,,2018-01-01,2018-12-31
213,6f04a8e0-6188-4836-9255-cab5267e07cd,VALID,Kangasniemi,Kangasniemi,Kangasniemi,,,2018-01-01,2018-12-31
214,321afa9d-3208-41ea-946d-8e21865cfa62,VALID,Kankaanpää,Kankaanpää,Kankaanpää,,,2018-01-01,2018-12-31
216,42a4cdff-c65d-4cde-a6db-012b2e1cb807,VALID,Kannonkoski,Kannonkoski,Kannonkoski,,,2018-01-01,2018-12-31
217,7af77371-b8e9-4799-8317-9e2b49e792fe,VALID,Kannus,Kannus,Kannus,,,2018-01-01,2018-12-31
218,4d0e4722-b618-4aa0-b4f1-bb7af9c63218,VALID,Karijoki,Bötom,Karijoki,,,2018-01-01,2018-12-31
224,b0aa9d62-c34e-4a97-bc30-63c41d49e0c8,VALID,Karkkila,Högfors,Karkkila,,,2018-01-01,2018-12-31
226,b781bb8a-3195-453c-b1eb-1bc0789b314a,VALID,Karstula,Karstula,Karstula,,,2018-01-01,2018-12-31
230,58c7ffe8-f0db-4d03-acd4-416132f9e3b8,VALID,Karvia,Karvia,Karvia,,,2018-01-01,2018-12-31
231,7ab2fbf3-29c2-4127-be87-e4d132c34b45,VALID,Kaskinen,Kaskö,Kaskinen,,,2018-01-01,2018-12-31
232,822e6057-acbc-4ea1-b840-702bfaefce5f,VALID,Kauhajoki,Kauhajoki,Kauhajoki,,,2018-01-01,2018-12-31
233,b407c948-1ff9-4542-b2c4-581a718f48bc,VALID,Kauhava,Kauhava,Kauhava,,,2018-01-01,2018-12-31
235,64caca23-0eeb-4959-85c6-5c155186f316,VALID,Kauniainen,Grankulla,Kauniainen,,,2018-01-01,2018-12-31
236,cdd7150f-91b8-46e7-96de-6bbb0d465deb,VALID,Kaustinen,Kaustby,Kaustinen,,,2018-01-01,2018-12-31
239,9ce54620-e277-444c-bcb9-01a0289f7ce5,VALID,Keitele,Keitele,Keitele,,,2018-01-01,2018-12-31
240,9c69d26a-3ed4-44df-9e81-c4f0584fc7da,VALID,Kemi,Kemi,Kemi,,,2018-01-01,2018-12-31
241,06bfb6a3-0f6e-4a95-9e01-1a8f805daf78,VALID,Keminmaa,Keminmaa,Keminmaa,,,2018-01-01,2018-12-31
244,0b782f6b-fde2-459c-be60-2b2d7cc462a5,VALID,Kempele,Kempele,Kempele,,,2018-01-01,2018-12-31
245,7a31398a-b250-4458-994e-344fe1a6391d,VALID,Kerava,Kervo,Kerava,,,2018-01-01,2018-12-31
249,44703cd8-8eb0-4759-bf68-da063ed8fc80,VALID,Keuruu,Keuruu,Keuruu,,,2018-01-01,2018-12-31
250,a1c58dcd-2154-4c88-a81e-e6dd41dac647,VALID,Kihniö,Kihniö,Kihniö,,,2018-01-01,2018-12-31
256,d699ca6c-a415-4b68-92dc-2df4ec836b30,VALID,Kinnula,Kinnula,Kinnula,,,2018-01-01,2018-12-31
257,2fb86281-9757-49d5-a872-41aa5a219d33,VALID,Kirkkonummi,Kyrkslätt,Kirkkonummi,,,2018-01-01,2018-12-31
260,1eab7f65-7645-4cbf-a835-807ad9c4fcb2,VALID,Kitee,Kitee,Kitee,,,2018-01-01,2018-12-31
261,15297821-00aa-48af-be84-fb0780ff8c60,VALID,Kittilä,Kittilä,Kittilä,,,2018-01-01,2018-12-31
263,0096685a-339b-4c3d-ba3f-5a013c1772a5,VALID,Kiuruvesi,Kiuruvesi,Kiuruvesi,,,2018-01-01,2018-12-31
