CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
607,,DRAFT,Polvijärvi,Polvijärvi,Polvijärvi,,,,,,,,,
608,,DRAFT,Pomarkku,Påmark,Pomarkku,,,,,,,,,
609,,DRAFT,Pori,Björneborg,Pori,,,,,,,,,
611,,DRAFT,Pornainen,Borgnäs,Pornainen,,,,,,,,,
614,,DRAFT,Posio,Posio,Posio,,,,,,,,,
615,,DRAFT,Pudasjärvi,Pudasjärvi,Pudasjärvi,,,,,,,,,
616,,DRAFT,Pukkila,Pukkila,Pukkila,,,,,,,,,
619,,DRAFT,Punkalaidun,Punkalaidun,Punkalaidun,,,,,,,,,
620,,DRAFT,Puolanka,Puolanka,Puolanka,,,,,,,,,
623,,DRAFT,Puumala,Puumala,Puumala,,,,,,,,,
624,,DRAFT,Pyhtää,Pyttis,Pyhtää,,,,,,,,,
625,,DRAFT,Pyhäjoki,Pyhäjoki,Pyhäjoki,,,,,,,,,
626,,DRAFT,Pyhäjärvi,Pyhäjärvi,Pyhäjärvi,,,,,,,,,
630,,DRAFT,Pyhäntä,Pyhäntä,Pyhäntä,,,,,,,,,
631,,DRAFT,Pyhäranta,Pyhäranta,Pyhäranta,,,,,,,,,
635,,DRAFT,Pälkäne,Pälkäne,Pälkäne,,,,,,,,,
636,,DRAFT,Pöytyä,Pöytyä,Pöytyä,,,,,,,,,
638,,DRAFT,Porvoo,Borgå,Porvoo,,,,,,,,,
678,,DRAFT,Raahe,Brahestad,Raahe,,,,,,,,,
680,,DRAFT,Raisio,Reso,Raisio,,,,,,,,,
681,,DRAFT,Rantasalmi,Rantasalmi,Rantasalmi,,,,,,,,,
683,,DRAFT,Ranua,Ranua,Ranua,,,,,,,,,
684,,DRAFT,Rauma,Raumo,Rauma,,,,,,,,,
686,,DRAFT,Rautalampi,Rautalampi,Rautalampi,,,,,,,,,
687,,DRAFT,Rautavaara,Rautavaara,Rautavaara,,,,,,,,,
689,,DRAFT,Rautjärvi,Rautjärvi,Rautjärvi,,,,,,,,,
691,,DRAFT,Reisjärvi,Reisjärvi,Reisjärvi,,,,,,,,,
694,,DRAFT,Riihimäki,Riihimäki,Riihimäki,,,,,,,,,
697,,DRAFT,Ristijärvi,Ristijärvi,Ristijärvi,,,,,,,,,
698,,DRAFT,Rovaniemi,Rovaniemi,Rovaniemi,,,,,,,,,
700,,DRAFT,Ruokolahti,Ruokolahti,Ruokolahti,,,,,,,,,
702,,DRAFT,Ruovesi,Ruovesi,Ruovesi,,,,,,,,,
704,,DRAFT,Rusko,Rusko,Rusko,,,,,,,,,
707,,DRAFT,Rääkkylä,Rääkkylä,Rääkkylä,,,,,,,,,
710,,DRAFT,Raasepori,Raseborg,Raseborg,,,,,,,,,
729,,DRAFT,Saarijärvi,Saarijärvi,Saarijärvi,,,,,,,,,
732,,DRAFT,Salla,Salla,Salla,,,,,,,,,
734,,DRAFT,Salo,Salo,Salo,,,,,,,,,
736,,DRAFT,Saltvik,Saltvik,Saltvik,,,,,,,,,
738,,DRAFT,Sauvo,Sagu,Sauvo,,,,,,,,,
739,,DRAFT,Savitaipale,Savitaipale,Savitaipale,,,,,,,,,
740,,DRAFT,Savonlinna,Nyslott,Savonlinna,,,,,,,,,
742,,DRAFT,Savukoski,Savukoski,Savukoski,,,,,,,,,
743,,DRAFT,Seinäjoki,Seinäjoki,Seinäjoki,,,,,,,,,
746,,DRAFT,Sievi,Sievi,Sievi,,,,,,,,,
747,,DRAFT,Siikainen,Siikainen,Siikainen,,,,,,,,,
748,,DRAFT,Siikajoki,Siikajoki,Siikajoki,,,,,,,,,
749,,DRAFT,Siilinjärvi,Siilinjärvi,Siilinjärvi,,,,,,,,,
751,,DRAFT,Simo,Simo,Simo,,,,,,,,,
753,,DRAFT,Sipoo,Sibbo,Sipoo,,,,,,,,,
755,,DRAFT,Siuntio,Sjundeå,Siuntio,,,,,,,,,
758,,DRAFT,Sodankylä,Sodankylä,Sodankylä,,,,,,,,,
759,,DRAFT,Soini,Soini,Soini,,,,,,,,,
