CODEVALUE,ID,STATUS,HIERARCHYLEVEL,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
rom,,INVALID,,Romany,romani,,,,,,,,,,
root,,INVALID,,Root,juuri,,,,,,,,,,
rtm,,INVALID,,Rotuman,rotuma,,,,,,,,,,
ru,,INVALID,,Russian,venäjä,,,,,,,,,,
rue,,INVALID,,Rusyn,ruteeni,,,,,,,,,,
rug,,INVALID,,Roviana,roviana,,,,,,,,,,
rup,,INVALID,,Aromanian,aromania,,,,,,,,,,
rw,,INVALID,,Kinyarwanda,ruanda,,,,,,,,,,
rwk,,INVALID,,Rwa,rwa,,,,,,,,,,
sa,,INVALID,,Sanskrit,sanskrit,,,,,,,,,,
sad,,INVALID,,Sandawe,sandawe,,,,,,,,,,
sah,,INVALID,,Sakha,jakuutti,,,,,,,,,,
sam,,INVALID,,Samaritan Aramaic,samarianaramea,,,,,,,,,,
saq,,INVALID,,Samburu,samburu,,,,,,,,,,
sas,,INVALID,,Sasak,sasak,,,,,,,,,,
sat,,INVALID,,Santali,santali,,,,,,,,,,
saz,,INVALID,,Saurashtra,sauraštri,,,,,,,,,,
sba,,INVALID,,Ngambay,ngambay,,,,,,,,,,
sbp,,INVALID,,Sangu,sangu,,,,,,,,,,
sc,,INVALID,,Sardinian,sardi,,,,,,,,,,
scn,,INVALID,,Sicilian,sisilia,,,,,,,,,,
sco,,INVALID,,Scots,skotti,,,,,,,,,,
sd,,INVALID,,Sindhi,sindhi,,,,,,,,,,
sdc,,INVALID,,Sassarese Sardinian,sassarinsardi,,,,,,,,,,
sdh,,INVALID,,Southern Kurdish,eteläkurdi,,,,,,,,,,
se,,INVALID,,Northern Sami,pohjoissaame,,,,,,,,,,
see,,INVALID,,Seneca,seneca,,,,,,,,,,
seh,,INVALID,,Sena,sena,,,,,,,,,,
sei,,INVALID,,Seri,seri,,,,,,,,,,
sel,,INVALID,,Selkup,selkuppi,,,,,,,,,,
ses,,INVALID,,Koyraboro Senni,koyraboro senni,,,,,,,,,,
sg,,INVALID,,Sango,sango,,,,,,,,,,
sga,,INVALID,,Old Irish,muinaisiiri,,,,,,,,,,
sgs,,INVALID,,Samogitian,samogiitti,,,,,,,,,,
sh,,INVALID,,Serbo-Croatian,serbokroaatti,,,,,,,,,,
shi,,INVALID,,Tachelhit,tašelhit,,,,,,,,,,
shn,,INVALID,,Shan,shan,,,,,,,,,,
shu,,INVALID,,Chadian Arabic,tšadinarabia,,,,,,,,,,
si,,INVALID,,Sinhala,sinhala,,,,,,,,,,
sid,,INVALID,,Sidamo,sidamo,,,,,,,,,,
sk,,INVALID,,Slovak,slovakki,,,,,,,,,,
sl,,INVALID,,Slovenian,sloveeni,,,,,,,,,,
sli,,INVALID,,Lower Silesian,sleesiansaksa,,,,,,,,,,
sly,,INVALID,,Selayar,selayar,,,,,,,,,,
sm,,INVALID,,Samoan,samoa,,,,,,,,,,
sma,,INVALID,,Southern Sami,eteläsaame,,,,,,,,,,
