CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
0723,949acebd-df17-40aa-aa81-843db14ddcf0,VALID,"Tekstiilitekniikka (vaatteet, jalkineet ja nahkatuotteet)","Textilteknik (kläder, skodon och läderprodukter)","Textiles (clothes, footwear and leather)",,,2016-01-01,
0724,c8171be8-7ae8-4048-be21-5919646a0798,VALID,Kaivos- ja rikastustekniikka,Gruv och anrikningsteknik,Mining and extraction,,,2016-01-01,
0728,8ec83232-3139-455a-8a81-c19421ca4c18,VALID,"Tuotanto- ja prosessitekniikka, monialaiset koulutusohjelmat","Produktions- och processteknik, branschövergripande utbildningsprogram",Inter-disciplinary programmes and qualifications involving manufacturing and processing,,,2016-01-01,
073,cc0cb7c3-1a2b-48d9-a27f-9f9496228e41,VALID,Arkkitehtuuri ja rakentaminen,Arkitektur och byggnadsteknik,Architecture and construction,,,2016-01-01,
0731,05d4517f-4b45-4256-9d27-5e516663e228,VALID,Arkkitehtuuri ja kaupunkisuunnittelu,Arkitektur och stadsplanering,Architecture and town planning,,,2016-01-01,
0732,976c9e26-3b71-4c86-b215-e43f098a6171,VALID,Rakentaminen ja rakennussuunnittelu,Byggnadsteknik och -planering,Building and civil engineering,,,2016-01-01,
08,2203b4f3-3c47-411e-ab4d-90e2c789c60c,VALID,Maa- ja metsätalousalat,Lant- och skogsbruk,"Agriculture, forestry, fisheries and veterinary",,,2016-01-01,
080,fcd757ca-2b3b-4305-9cba-1d40a727f97a,VALID,"Maa- ja metsätalousalat, yleiset koulutusohjelmat","Lant- och skogsbruk, allmänna utbildningsprogram","Broad programmes and qualifications involving agriculture, forestry,fisheries and vetrinary",,,2016-01-01,
0800,da4b31ea-a65a-4dc7-af2b-29e0bc8077bb,VALID,"Maa- ja metsätalousalat, yleiset koulutusohjelmat","Lant- och skogsbruksområdena, allmänna utbildningsprogram","Broad programmes and qualifications involving agriculture, forestry,fisheries and vetrinary",,,2016-01-01,
081,bcaf66d8-74ef-4684-9f7b-3208a6d68a56,VALID,Maatalous,Lantbruk,Agriculture,,,2016-01-01,
0811,396cb332-d2bb-4c73-822e-45190f77ef81,VALID,Viljan ja karjantuotanto,Spannmåls- och boskapsproduktion,Crop and livestock production,,,2016-01-01,
0812,081806b7-f078-41c3-9a0a-caad0f778644,VALID,Puutarhanhoito,Trädgårdsskötsel,Horticulture,,,2016-01-01,
0818,67b7a6f4-4210-4643-a997-8a77e9a87be5,VALID,"Maa- ja metsätalousalat, monialaiset koulutusohjelmat","Lant- och skogsbruk, branschövergripande utbildningsprogram",Inter-disciplinary programmes and qualifications involving agruculture,,,2016-01-01,
082,4939d05f-fea8-4d3c-a05b-23a28ca5f5a4,VALID,Metsätalous,Skogsbruk,Forestry,,,2016-01-01,
0820,a7052183-7033-4a36-a8f9-4dd42f5f164c,VALID,"Metsänhoito, yleiset koulutusohjelmat","Skogsskötsel, allmänna utbildningsprogram",Broad programmes and qualifications involving forestry,,,2016-01-01,
0821,d0be8701-505b-4e1a-815b-a1bc8ad38c67,VALID,Metsätalous,Skogsbruk,Forestry,,,2016-01-01,
0828,34873e54-61e5-43e1-ad2d-df3f9c94fb1f,VALID,"Metsänhoito, monialaiset koulutusohjelmat","Skogsskötsel, branschövergripande utbildningsprogram",Inter-disciplinary programmes and qualifications involving forestry,,,2016-01-01,
083,0a61100b-5513-4d05-b5f0-2015319f55ed,VALID,Kalatalous,Fiskeri,Fisheries,,,2016-01-01,
0831,068b4434-3b81-4b22-8117-67d8fb9704d1,VALID,Kalatalous,Fiskeri,Fisheries,,,2016-01-01,
