CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
id,,VALID,Indonesian,indonesia,,,,,,,,,,
ie,,VALID,Interlingue,interlingue,,,,,,,,,,
ig,,VALID,Igbo,igbo,,,,,,,,,,
ii,,VALID,Sichuan Yi,sichuanin-yi,,,,,,,,,,
ik,,VALID,Inupiaq,inupiaq,,,,,,,,,,
ilo,,VALID,Iloko,iloko,,,,,,,,,,
inh,,VALID,Ingush,inguuši,,,,,,,,,,
io,,VALID,Ido,ido,,,,,,,,,,
is,,VALID,Icelandic,islanti,,,,,,,,,,
it,,VALID,Italian,italia,,,,,,,,,,
iu,,VALID,Inuktitut,inuktitut,,,,,,,,,,
izh,,VALID,Ingrian,inkeroinen,,,,,,,,,,
ja,,VALID,Japanese,japani,,,,,,,,,,
jam,,VALID,Jamaican Creole English,jamaikankreolienglanti,,,,,,,,,,
jbo,,VALID,Lojban,lojban,,,,,,,,,,
jgo,,VALID,Ngomba,ngomba,,,,,,,,,,
jmc,,VALID,Machame,machame,,,,,,,,,,
jpr,,VALID,Judeo-Persian,juutalaispersia,,,,,,,,,,
jrb,,VALID,Judeo-Arabic,juutalaisarabia,,,,,,,,,,
jut,,VALID,Jutish,juutti,,,,,,,,,,
jv,,VALID,Javanese,jaava,,,,,,,,,,
ka,,VALID,Georgian,georgia,,,,,,,,,,
kaa,,VALID,Kara-Kalpak,karakalpakki,,,,,,,,,,
kab,,VALID,Kabyle,kabyyli,,,,,,,,,,
kac,,VALID,Kachin,katšin,,,,,,,,,,
kaj,,VALID,Jju,jju,,,,,,,,,,
kam,,VALID,Kamba,kamba,,,,,,,,,,
kaw,,VALID,Kawi,kavi,,,,,,,,,,
kbd,,VALID,Kabardian,kabardi,,,,,,,,,,
kbl,,VALID,Kanembu,kanembu,,,,,,,,,,
kcg,,VALID,Tyap,tyap,,,,,,,,,,
kde,,VALID,Makonde,makonde,,,,,,,,,,
kea,,VALID,Kabuverdianu,kapverdenkreoli,,,,,,,,,,
ken,,VALID,Kenyang,kenyang,,,,,,,,,,
kfo,,VALID,Koro,norsunluurannikonkoro,,,,,,,,,,
kg,,VALID,Kongo,kongo,,,,,,,,,,
kgp,,VALID,Kaingang,kaingang,,,,,,,,,,
kha,,VALID,Khasi,khasi,,,,,,,,,,
kho,,VALID,Khotanese,khotani,,,,,,,,,,
khq,,VALID,Koyra Chiini,koyra chiini,,,,,,,,,,
khw,,VALID,Khowar,khowar,,,,,,,,,,
ki,,VALID,Kikuyu,kikuju,,,,,,,,,,
kiu,,VALID,Kirmanjki,kirmanjki,,,,,,,,,,
kj,,VALID,Kuanyama,kuanjama,,,,,,,,,,
kk,,VALID,Kazakh,kazakki,,,,,,,,,,
kkj,,VALID,Kako,kako,,,,,,,,,,
kl,,VALID,Kalaallisut,kalaallisut,,,,,,,,,,
kln,,VALID,Kalenjin,kalenjin,,,,,,,,,,
kl-secondary,,VALID,Kalaallisut,grönlanti,,,,,,,,,,
km,,VALID,Khmer,khmer,,,,,,,,,,
kmb,,VALID,Kimbundu,kimbundu,,,,,,,,,,
kn,,VALID,Kannada,kannada,,,,,,,,,,
ko,,VALID,Korean,korea,,,,,,,,,,
koi,,VALID,Komi-Permyak,komipermjakki,,,,,,,,,,
kok,,VALID,Konkani,konkani,,,,,,,,,,
kos,,VALID,Kosraean,kosrae,,,,,,,,,,
kpe,,VALID,Kpelle,kpelle,,,,,,,,,,
kr,,VALID,Kanuri,kanuri,,,,,,,,,,
krc,,VALID,Karachay-Balkar,karatšai-balkaari,,,,,,,,,,
kri,,VALID,Krio,krio,,,,,,,,,,
krj,,VALID,Kinaray-a,kinaray-a,,,,,,,,,,
krl,,VALID,Karelian,karjala,,,,,,,,,,
kru,,VALID,Kurukh,kurukh,,,,,,,,,,
ks,,VALID,Kashmiri,kašmiri,,,,,,,,,,
ksb,,VALID,Shambala,shambala,,,,,,,,,,
ksf,,VALID,Bafia,bafia,,,,,,,,,,
ksh,,VALID,Colognian,kölsch,,,,,,,,,,
ku,,VALID,Kurdish,kurdi,,,,,,,,,,
kum,,VALID,Kumyk,kumykki,,,,,,,,,,
kut,,VALID,Kutenai,kutenai,,,,,,,,,,
kv,,VALID,Komi,komi,,,,,,,,,,
kw,,VALID,Cornish,korni,,,,,,,,,,
ky,,VALID,Kyrgyz,kirgiisi,,,,,,,,,,
la,,VALID,Latin,latina,,,,,,,,,,
lad,,VALID,Ladino,ladino,,,,,,,,,,
lad-secondary,,VALID,Ladino,juutalaisespanja,,,,,,,,,,
lag,,VALID,Langi,lango,,,,,,,,,,
lah,,VALID,Lahnda,lahnda,,,,,,,,,,
lam,,VALID,Lamba,lamba,,,,,,,,,,
lb,,VALID,Luxembourgish,luxemburg,,,,,,,,,,
lez,,VALID,Lezghian,lezgi,,,,,,,,,,
lfn,,VALID,Lingua Franca Nova,lingua franca nova,,,,,,,,,,
lg,,VALID,Ganda,ganda,,,,,,,,,,
li,,VALID,Limburgish,limburg,,,,,,,,,,
lij,,VALID,Ligurian,liguuri,,,,,,,,,,
liv,,VALID,Livonian,liivi,,,,,,,,,,
lkt,,VALID,Lakota,lakota,,,,,,,,,,
lmo,,VALID,Lombard,lombardi,,,,,,,,,,
ln,,VALID,Lingala,lingala,,,,,,,,,,
lo,,VALID,Lao,lao,,,,,,,,,,
lol,,VALID,Mongo,mongo,,,,,,,,,,
loz,,VALID,Lozi,lozi,,,,,,,,,,
lrc,,VALID,Northern Luri,pohjoisluri,,,,,,,,,,
lt,,VALID,Lithuanian,liettua,,,,,,,,,,
ltg,,VALID,Latgalian,latgalli,,,,,,,,,,
lu,,VALID,Luba-Katanga,katanganluba,,,,,,,,,,
lua,,VALID,Luba-Lulua,luluanluba,,,,,,,,,,
lui,,VALID,Luiseno,luiseño,,,,,,,,,,
lun,,VALID,Lunda,lunda,,,,,,,,,,
luo,,VALID,Luo,luo,,,,,,,,,,
lus,,VALID,Mizo,lusai,,,,,,,,,,
luy,,VALID,Luyia,luhya,,,,,,,,,,
lv,,VALID,Latvian,latvia,,,,,,,,,,
lzh,,VALID,Literary Chinese,klassinen kiina,,,,,,,,,,
lzz,,VALID,Laz,lazi,,,,,,,,,,
mad,,VALID,Madurese,madura,,,,,,,,,,
maf,,VALID,Mafa,mafa,,,,,,,,,,
mag,,VALID,Magahi,magahi,,,,,,,,,,
mai,,VALID,Maithili,maithili,,,,,,,,,,
mak,,VALID,Makasar,makassar,,,,,,,,,,
man,,VALID,Mandingo,mandingo,,,,,,,,,,
mas,,VALID,Masai,maasai,,,,,,,,,,
mde,,VALID,Maba,maba,,,,,,,,,,
mdf,,VALID,Moksha,mokša,,,,,,,,,,
mdr,,VALID,Mandar,mandar,,,,,,,,,,
men,,VALID,Mende,mende,,,,,,,,,,
mer,,VALID,Meru,meru,,,,,,,,,,
mfe,,VALID,Morisyen,morisyen,,,,,,,,,,
mg,,VALID,Malagasy,malagassi,,,,,,,,,,
mga,,VALID,Middle Irish,keski-iiri,,,,,,,,,,
mgh,,VALID,Makhuwa-Meetto,makua-meetto,,,,,,,,,,
mgo,,VALID,Metaʼ,meta’,,,,,,,,,,
mh,,VALID,Marshallese,marshall,,,,,,,,,,
mi,,VALID,Maori,maori,,,,,,,,,,
mic,,VALID,Mi’kmaq,micmac,,,,,,,,,,
min,,VALID,Minangkabau,minangkabau,,,,,,,,,,
mk,,VALID,Macedonian,makedonia,,,,,,,,,,
ml,,VALID,Malayalam,malajalam,,,,,,,,,,
mn,,VALID,Mongolian,mongoli,,,,,,,,,,
mnc,,VALID,Manchu,mantšu,,,,,,,,,,
mni,,VALID,Manipuri,manipuri,,,,,,,,,,
moh,,VALID,Mohawk,mohawk,,,,,,,,,,
mos,,VALID,Mossi,mossi,,,,,,,,,,
mr,,VALID,Marathi,marathi,,,,,,,,,,
mrj,,VALID,Western Mari,vuorimari,,,,,,,,,,
ms,,VALID,Malay,malaiji,,,,,,,,,,
mt,,VALID,Maltese,malta,,,,,,,,,,
mua,,VALID,Mundang,mundang,,,,,,,,,,
mus,,VALID,Creek,creek,,,,,,,,,,
mwl,,VALID,Mirandese,mirandeesi,,,,,,,,,,
mwr,,VALID,Marwari,marwari,,,,,,,,,,
mwv,,VALID,Mentawai,mentawai,,,,,,,,,,
my,,VALID,Burmese,burma,,,,,,,,,,
mye,,VALID,Myene,myene,,,,,,,,,,
myv,,VALID,Erzya,ersä,,,,,,,,,,
mzn,,VALID,Mazanderani,mazandarani,,,,,,,,,,
na,,VALID,Nauru,nauru,,,,,,,,,,
nan,,VALID,Min Nan Chinese,min nan -kiina,,,,,,,,,,
nap,,VALID,Neapolitan,napoli,,,,,,,,,,
naq,,VALID,Nama,nama,,,,,,,,,,
nb,,VALID,Norwegian Bokmål,norjan bokmål,,,,,,,,,,
nd,,VALID,North Ndebele,pohjois-ndebele,,,,,,,,,,
nds,,VALID,Low German,alasaksa,,,,,,,,,,
nds_NL,,VALID,Low Saxon,alankomaidenalasaksa,,,,,,,,,,
ne,,VALID,Nepali,nepali,,,,,,,,,,
new,,VALID,Newari,newari,,,,,,,,,,
ng,,VALID,Ndonga,ndonga,,,,,,,,,,
nia,,VALID,Nias,nias,,,,,,,,,,
niu,,VALID,Niuean,niue,,,,,,,,,,
njo,,VALID,Ao Naga,ao naga,,,,,,,,,,
nl,,VALID,Dutch,hollanti,,,,,,,,,,
nl_BE,,VALID,Flemish,flaami,,,,,,,,,,
nmg,,VALID,Kwasio,kwasio,,,,,,,,,,
nn,,VALID,Norwegian Nynorsk,norjan nynorsk,,,,,,,,,,
nnh,,VALID,Ngiemboon,ngiemboon,,,,,,,,,,
no,,VALID,Norwegian,norja,,,,,,,,,,
nog,,VALID,Nogai,nogai,,,,,,,,,,
non,,VALID,Old Norse,muinaisnorja,,,,,,,,,,
nov,,VALID,Novial,novial,,,,,,,,,,
nqo,,VALID,N’Ko,n’ko,,,,,,,,,,
nr,,VALID,South Ndebele,etelä-ndebele,,,,,,,,,,
nso,,VALID,Northern Sotho,pohjoissotho,,,,,,,,,,
nus,,VALID,Nuer,nuer,,,,,,,,,,
nv,,VALID,Navajo,navajo,,,,,,,,,,
nwc,,VALID,Classical Newari,klassinen newari,,,,,,,,,,
ny,,VALID,Nyanja,njandža,,,,,,,,,,
nym,,VALID,Nyamwezi,nyamwezi,,,,,,,,,,
nyn,,VALID,Nyankole,nyankole,,,,,,,,,,
nyo,,VALID,Nyoro,nyoro,,,,,,,,,,
nzi,,VALID,Nzima,nzima,,,,,,,,,,
oc,,VALID,Occitan,oksitaani,,,,,,,,,,
oj,,VALID,Ojibwa,odžibwa,,,,,,,,,,
om,,VALID,Oromo,oromo,,,,,,,,,,
or,,VALID,Odia,orija,,,,,,,,,,
os,,VALID,Ossetic,osseetti,,,,,,,,,,
osa,,VALID,Osage,osage,,,,,,,,,,
ota,,VALID,Ottoman Turkish,osmani,,,,,,,,,,
pa,,VALID,Punjabi,pandžabi,,,,,,,,,,
pag,,VALID,Pangasinan,pangasinan,,,,,,,,,,
pal,,VALID,Pahlavi,pahlavi,,,,,,,,,,
pam,,VALID,Pampanga,pampanga,,,,,,,,,,
pap,,VALID,Papiamento,papiamentu,,,,,,,,,,
pau,,VALID,Palauan,palau,,,,,,,,,,
pcd,,VALID,Picard,picardi,,,,,,,,,,
pdc,,VALID,Pennsylvania German,pennsylvaniansaksa,,,,,,,,,,
pdt,,VALID,Plautdietsch,plautdietsch,,,,,,,,,,
peo,,VALID,Old Persian,muinaispersia,,,,,,,,,,
pfl,,VALID,Palatine German,pfaltsi,,,,,,,,,,
phn,,VALID,Phoenician,foinikia,,,,,,,,,,
pi,,VALID,Pali,paali,,,,,,,,,,
pl,,VALID,Polish,puola,,,,,,,,,,
pms,,VALID,Piedmontese,piemonte,,,,,,,,,,
pnt,,VALID,Pontic,pontoksenkreikka,,,,,,,,,,
pon,,VALID,Pohnpeian,pohnpei,,,,,,,,,,
prg,,VALID,Prussian,muinaispreussi,,,,,,,,,,
pro,,VALID,Old Provençal,muinaisprovensaali,,,,,,,,,,
ps,,VALID,Pashto,paštu,,,,,,,,,,
pt,,VALID,Portuguese,portugali,,,,,,,,,,
pt_BR,,VALID,Brazilian Portuguese,brasilianportugali,,,,,,,,,,
pt_PT,,VALID,European Portuguese,euroopanportugali,,,,,,,,,,
qu,,VALID,Quechua,ketšua,,,,,,,,,,
